,ts_code,trade_date,close
853,000300.SH,20050408,1003.45
852,000300.SH,20050415,974.08
851,000300.SH,20050422,939.1
850,000300.SH,20050429,932.4
849,000300.SH,20050513,887.54
848,000300.SH,20050520,882.76
847,000300.SH,20050527,849.51
846,000300.SH,20050603,818.03
845,000300.SH,20050610,894.56
844,000300.SH,20050617,880.35
843,000300.SH,20050624,898.3
842,000300.SH,20050701,859.49
841,000300.SH,20050708,829.49
840,000300.SH,20050715,841.0
839,000300.SH,20050722,859.69
838,000300.SH,20050729,888.16
837,000300.SH,20050805,923.8
836,000300.SH,20050812,938.32
835,000300.SH,20050819,923.04
834,000300.SH,20050826,928.26
833,000300.SH,20050902,947.87
832,000300.SH,20050909,949.07
831,000300.SH,20050916,967.5
830,000300.SH,20050923,916.15
829,000300.SH,20050930,917.39
828,000300.SH,20051014,904.83
827,000300.SH,20051021,904.41
826,000300.SH,20051028,867.73
825,000300.SH,20051104,878.36
824,000300.SH,20051111,864.79
823,000300.SH,20051118,882.24
822,000300.SH,20051125,884.11
821,000300.SH,20051202,869.94
820,000300.SH,20051209,887.36
819,000300.SH,20051216,902.56
818,000300.SH,20051223,915.89
817,000300.SH,20051230,923.45
816,000300.SH,20060106,970.03
815,000300.SH,20060113,978.81
814,000300.SH,20060120,993.34
813,000300.SH,20060125,1009.6
812,000300.SH,20060210,1032.34
811,000300.SH,20060217,1020.37
810,000300.SH,20060224,1049.44
809,000300.SH,20060303,1041.68
808,000300.SH,20060310,1008.9
807,000300.SH,20060317,1024.02
806,000300.SH,20060324,1042.6
805,000300.SH,20060331,1061.09
804,000300.SH,20060407,1103.15
803,000300.SH,20060414,1118.61
802,000300.SH,20060421,1149.16
801,000300.SH,20060428,1172.35
800,000300.SH,20060512,1296.26
799,000300.SH,20060519,1366.1
798,000300.SH,20060526,1331.02
797,000300.SH,20060602,1390.12
796,000300.SH,20060609,1294.19
795,000300.SH,20060616,1318.01
794,000300.SH,20060623,1339.45
793,000300.SH,20060630,1393.96
792,000300.SH,20060707,1410.43
791,000300.SH,20060714,1357.13
790,000300.SH,20060721,1356.03
789,000300.SH,20060728,1341.39
788,000300.SH,20060804,1241.91
787,000300.SH,20060811,1275.65
786,000300.SH,20060818,1267.87
785,000300.SH,20060825,1295.44
784,000300.SH,20060901,1318.1
783,000300.SH,20060908,1332.15
